user,nice,system,idle,iowait,irq,softirq,steal,time
176081,3398,140215,69827646,1220,0,1265,0,17:31:47:592767
176081,3398,140217,69827647,1220,0,1265,0,17:31:47:606785
176081,3398,140217,69827648,1220,0,1265,0,17:31:47:625498
176082,3398,140217,69827648,1220,0,1265,0,17:31:47:646142
176082,3398,140217,69827649,1220,0,1265,0,17:31:47:660695
176082,3398,140218,69827650,1220,0,1265,0,17:31:47:683798
176082,3398,140218,69827651,1220,0,1265,0,17:31:47:702032
176082,3398,140219,69827651,1220,0,1265,0,17:31:47:722260
176083,3398,140219,69827652,1220,0,1265,0,17:31:47:737000
176083,3398,140219,69827653,1220,0,1265,0,17:31:47:750572
176083,3398,140220,69827653,1220,0,1265,0,17:31:47:769789
176083,3398,140222,69827654,1220,0,1265,0,17:31:47:786436
176084,3398,140222,69827655,1220,0,1265,0,17:31:47:812253
176085,3398,140223,69827656,1220,0,1265,0,17:31:47:833689
176085,3398,140223,69827657,1220,0,1265,0,17:31:47:847278
176085,3398,140224,69827658,1220,0,1265,0,17:31:47:866577
176085,3398,140225,69827659,1220,0,1265,0,17:31:47:891982
176085,3398,140227,69827660,1220,0,1265,0,17:31:47:911933
176085,3398,140228,69827661,1220,0,1265,0,17:31:47:930389
176085,3398,140230,69827661,1220,0,1265,0,17:31:47:954600
176085,3398,140231,69827663,1220,0,1265,0,17:31:47:971524
176085,3398,140232,69827663,1220,0,1265,0,17:31:47:987453
176086,3398,140232,69827664,1220,0,1265,0,17:31:48:006145
176086,3398,140232,69827665,1220,0,1265,0,17:31:48:027793
176086,3398,140232,69827666,1220,0,1265,0,17:31:48:046418
176086,3398,140234,69827666,1220,0,1265,0,17:31:48:062934
176086,3398,140235,69827667,1220,0,1265,0,17:31:48:075421
176086,3398,140236,69827667,1220,0,1265,0,17:31:48:091817
176086,3398,140237,69827668,1220,0,1265,0,17:31:48:105039
176086,3398,140239,69827669,1220,0,1265,0,17:31:48:125316
176086,3398,140239,69827670,1220,0,1265,0,17:31:48:145590
176086,3398,140240,69827671,1220,0,1265,0,17:31:48:164811
176086,3398,140241,69827671,1220,0,1265,0,17:31:48:191828
176086,3398,140242,69827672,1220,0,1265,0,17:31:48:206522
176086,3398,140243,69827673,1220,0,1265,0,17:31:48:220546
176086,3398,140244,69827674,1220,0,1265,0,17:31:48:238566
176086,3398,140245,69827674,1220,0,1265,0,17:31:48:256219
176086,3398,140245,69827675,1220,0,1265,0,17:31:48:274158
176086,3398,140245,69827676,1220,0,1265,0,17:31:48:293185
176086,3398,140245,69827677,1220,0,1265,0,17:31:48:309393
176086,3398,140245,69827678,1220,0,1265,0,17:31:48:325743
176086,3398,140246,69827678,1220,0,1265,0,17:31:48:347911
176086,3398,140247,69827679,1220,0,1265,0,17:31:48:363883
176086,3398,140247,69827680,1220,0,1265,0,17:31:48:383277
176086,3398,140247,69827681,1220,0,1265,0,17:31:48:399603
176086,3398,140248,69827681,1220,0,1265,0,17:31:48:416280
176086,3398,140249,69827682,1220,0,1265,0,17:31:48:447993
176086,3398,140250,69827684,1220,0,1265,0,17:31:48:464423
176086,3398,140251,69827684,1220,0,1265,0,17:31:48:480335
176086,3398,140251,69827685,1220,0,1265,0,17:31:48:495931
176086,3398,140252,69827686,1220,0,1265,0,17:31:48:521719
176086,3398,140252,69827687,1220,0,1265,0,17:31:48:547835
176086,3398,140254,69827687,1220,0,1265,0,17:31:48:567423
176086,3398,140256,69827688,1220,0,1265,0,17:31:48:587188
176087,3398,140256,69827688,1220,0,1265,0,17:31:48:603008
176087,3398,140257,69827689,1220,0,1265,0,17:31:48:620578
176087,3398,140258,69827690,1220,0,1265,0,17:31:48:640172
176087,3398,140258,69827691,1220,0,1265,0,17:31:48:661966
176087,3398,140258,69827692,1220,0,1265,0,17:31:48:682967
176087,3398,140259,69827693,1220,0,1265,0,17:31:48:706399
176087,3398,140259,69827694,1220,0,1265,0,17:31:48:721830
176087,3398,140259,69827695,1220,0,1265,0,17:31:48:740516
176087,3398,140261,69827695,1220,0,1265,0,17:31:48:760387
176088,3398,140261,69827696,1220,0,1265,0,17:31:48:779252
176088,3398,140261,69827697,1220,0,1265,0,17:31:48:794820
176088,3398,140261,69827697,1220,0,1265,0,17:31:48:813282
176088,3398,140263,69827698,1220,0,1265,0,17:31:48:832008
176088,3398,140264,69827699,1220,0,1265,0,17:31:48:848426
176088,3398,140265,69827700,1220,0,1265,0,17:31:48:870474
176088,3398,140266,69827701,1220,0,1265,0,17:31:48:884939
176089,3398,140267,69827702,1220,0,1265,0,17:31:48:903516
176089,3398,140268,69827702,1220,0,1265,0,17:31:48:923330
176091,3398,140268,69827703,1220,0,1265,0,17:31:48:944298
176091,3398,140268,69827704,1220,0,1265,0,17:31:48:962142
176091,3398,140270,69827705,1220,0,1265,0,17:31:48:988941
176091,3398,140270,69827706,1220,0,1265,0,17:31:49:006874
176091,3398,140272,69827707,1220,0,1265,0,17:31:49:026238
176091,3398,140273,69827707,1220,0,1265,0,17:31:49:046456
176091,3398,140273,69827708,1220,0,1265,0,17:31:49:066877
176091,3398,140273,69827709,1220,0,1265,0,17:31:49:084163
176091,3398,140273,69827710,1220,0,1265,0,17:31:49:108643
176092,3398,140274,69827711,1220,0,1265,0,17:31:49:125522
176092,3398,140275,69827712,1220,0,1265,0,17:31:49:143508
176092,3398,140276,69827712,1220,0,1265,0,17:31:49:162268
176092,3398,140277,69827713,1220,0,1265,0,17:31:49:181254
176092,3398,140277,69827714,1220,0,1265,0,17:31:49:204676
176092,3398,140279,69827715,1220,0,1265,0,17:31:49:224518
176092,3398,140279,69827716,1220,0,1265,0,17:31:49:244746
176092,3398,140280,69827716,1220,0,1265,0,17:31:49:262616
176093,3398,140281,69827717,1220,0,1265,0,17:31:49:280593
176093,3398,140281,69827718,1220,0,1265,0,17:31:49:296160
176093,3398,140283,69827718,1220,0,1265,0,17:31:49:314523
176093,3398,140284,69827719,1220,0,1265,0,17:31:49:332102
176093,3398,140285,69827720,1220,0,1265,0,17:31:49:350442
176094,3398,140285,69827720,1220,0,1265,0,17:31:49:370978
176095,3398,140285,69827721,1220,0,1265,0,17:31:49:383754
176095,3398,140285,69827722,1220,0,1265,0,17:31:49:401778
176096,3398,140285,69827722,1220,0,1265,0,17:31:49:420845
176096,3398,140286,69827723,1220,0,1265,0,17:31:49:441066
176096,3398,140286,69827724,1220,0,1265,0,17:31:49:458592
176096,3398,140288,69827725,1220,0,1265,0,17:31:49:474879
176096,3398,140288,69827725,1220,0,1265,0,17:31:49:493586
176096,3398,140289,69827726,1220,0,1265,0,17:31:49:513132
176096,3398,140290,69827727,1220,0,1265,0,17:31:49:527052
176096,3398,140291,69827728,1220,0,1265,0,17:31:49:544485
176096,3398,140292,69827729,1220,0,1265,0,17:31:49:563483
176096,3398,140292,69827729,1220,0,1265,0,17:31:49:582193
176096,3398,140292,69827730,1220,0,1265,0,17:31:49:597796
176096,3398,140293,69827731,1220,0,1265,0,17:31:49:613638
176096,3398,140293,69827732,1220,0,1265,0,17:31:49:632677
