,time[ms],time_0,csv_load_0,time_1,csv_load_1
2421,1500,1500,0.7183098591549296,1200.0,
2422,1600,1600,0.8117647058823529,1300.0,0.8333333333333334
2423,1700,1700,0.75,1400.0,0.8571428571428571
2424,1800,1800,0.7230769230769231,1500.0,
2425,1900,1900,0.8163265306122449,1600.0,
2426,2000,2000,0.9409090909090908,1700.0,1.0
2427,2100,2100,0.8712121212121212,1800.0,0.8333333333333334
2428,2200,2200,0.9016393442622952,1900.0,0.8333333333333334
2429,2300,2300,0.6050420168067226,2000.0,
2430,2400,2400,0.8269230769230769,2100.0,
2431,2500,2500,0.7619047619047619,2200.0,0.8
2432,2600,2600,0.6540880503144654,2300.0,0.75
2433,2700,2700,0.6283185840707964,2400.0,0.8181818181818182
2434,2800,2800,0.9065934065934066,2500.0,0.7272727272727273
2435,2900,2900,0.8010752688172043,2600.0,0.8
2436,3000,3000,0.7213114754098361,2700.0,0.9
2437,3100,3100,0.7741935483870968,2800.0,
2438,3200,3200,0.8375,2900.0,
2439,3300,3300,0.7894736842105263,3000.0,0.5
2440,3400,3400,0.5896414342629482,3100.0,0.9166666666666666
2441,3500,3500,0.6984924623115578,3200.0,0.7272727272727273
2442,3600,3600,0.7191780821917808,3300.0,0.6666666666666666
2443,3700,3700,0.8076923076923077,3400.0,0.8333333333333334
2444,3800,3800,0.7708333333333334,3500.0,0.9285714285714286
2445,3900,3900,0.8258064516129032,3600.0,
2446,4000,4000,0.9085714285714286,3700.0,
2447,4100,4100,0.9264705882352942,3800.0,0.9166666666666666
2448,4200,4200,0.8347826086956521,3900.0,0.75
2449,4300,4300,0.8396946564885496,4000.0,0.6666666666666666
2450,4400,4400,0.8395061728395061,4100.0,0.9
2451,4500,4500,0.87248322147651,4200.0,0.7777777777777778
2452,4600,4600,0.9015544041450776,4300.0,0.6666666666666666
2453,4700,4700,0.8343949044585988,4400.0,1.0
2454,4800,4800,0.8258426966292135,4500.0,0.7777777777777778
2455,4900,4900,0.8992248062015504,4600.0,0.7
2456,5000,5000,0.8928571428571429,4700.0,0.7272727272727273
2457,5100,5100,0.9104477611940298,4800.0,0.9
2458,5200,5200,0.9295774647887324,4900.0,0.6666666666666666
2459,5300,5300,0.8425925925925926,5000.0,0.8
2460,5400,5400,0.8,5100.0,
2461,5500,5500,0.7169811320754716,5200.0,
2462,5600,5600,0.7388535031847133,5300.0,0.7419354838709677
2463,5700,5700,0.7544910179640718,5400.0,
2464,5800,5800,0.7610062893081762,5500.0,
2465,5900,5900,0.7701863354037267,5600.0,0.8571428571428571
2466,6000,6000,0.7078651685393258,5700.0,0.8333333333333334
2467,6100,6100,0.8246753246753247,5800.0,0.8
2468,6200,6200,0.855072463768116,5900.0,0.9090909090909092
2469,6300,6300,0.671875,6000.0,0.9
2470,6400,6400,0.7547169811320755,6100.0,0.8181818181818182
2471,6500,6500,0.5163934426229508,6200.0,0.8
2472,6600,6600,0.64,6300.0,
2473,6700,6700,0.6688311688311688,6400.0,
2474,6800,6800,0.6237623762376238,6500.0,0.7857142857142857
2475,6900,6900,0.6194029850746269,6600.0,0.8333333333333334
2476,7000,7000,0.6992481203007519,6700.0,0.7777777777777778
2477,7100,7100,0.7258883248730964,6800.0,0.7777777777777778
2478,7200,7200,0.7124183006535948,6900.0,0.9090909090909092
2479,7300,7300,0.6305732484076433,7000.0,0.8
2480,7400,7400,0.6451612903225806,7100.0,0.8
